SystemCodeNumber,Capacity,Occupancy,LastUpdated,Occupancy Rate (%)
BHMBCCMKT01,577,348,2016-10-08 13:04:39,60.31
BHMBCCMKT01,577,357,2016-10-08 13:30:36,61.87
BHMBCCMKT01,577,395,2016-10-08 14:03:38,68.46
BHMBCCMKT01,577,400,2016-10-08 14:30:35,69.32
BHMBCCMKT01,577,395,2016-10-08 14:57:41,68.46
BHMBCCMKT01,577,406,2016-10-08 15:30:39,70.36
BHMBCCMKT01,577,381,2016-10-08 16:04:39,66.03
BHMBCCMKT01,577,365,2016-10-08 16:30:42,63.26
BHMBCCMKT01,577,42,2016-10-09 8:04:40,7.28
BHMBCCMKT01,577,42,2016-10-09 8:30:45,7.28
BHMBCCMKT01,577,43,2016-10-09 9:04:46,7.45
BHMBCCMKT01,577,43,2016-10-09 9:30:45,7.45
BHMBCCMKT01,577,50,2016-10-09 9:57:41,8.67
BHMBCCMKT01,577,64,2016-10-09 10:30:43,11.09
BHMBCCMKT01,577,100,2016-10-09 11:04:44,17.33
BHMBCCMKT01,577,126,2016-10-09 11:30:41,21.84
BHMBCCMKT01,577,148,2016-10-09 11:57:46,25.65
BHMBCCMKT01,577,170,2016-10-09 12:30:41,29.46
BHMBCCMKT01,577,189,2016-10-09 13:04:43,32.76
BHMBCCMKT01,577,205,2016-10-09 13:30:42,35.53
BHMBCCMKT01,577,208,2016-10-09 14:03:42,36.05
BHMBCCMKT01,577,209,2016-10-09 14:30:42,36.22
BHMBCCMKT01,577,191,2016-10-09 15:04:44,33.1
BHMBCCMKT01,577,180,2016-10-09 15:30:46,31.2
BHMBCCMKT01,577,155,2016-10-09 16:03:43,26.86
BHMBCCMKT01,577,133,2016-10-09 16:30:43,23.05
BHMBCCMKT01,577,54,2016-10-10 8:04:47,9.36
BHMBCCMKT01,577,56,2016-10-10 8:30:47,9.71
BHMBCCMKT01,577,65,2016-10-10 9:04:47,11.27
BHMBCCMKT01,577,73,2016-10-10 9:30:49,12.65
BHMBCCMKT01,577,92,2016-10-10 10:03:48,15.94
BHMBCCMKT01,577,113,2016-10-10 10:30:48,19.58
BHMBCCMKT01,577,144,2016-10-10 10:57:52,24.96
BHMBCCMKT01,577,149,2016-10-10 11:30:48,25.82
BHMBCCMKT01,577,159,2016-10-10 11:57:49,27.56
BHMBCCMKT01,577,171,2016-10-10 12:30:48,29.64
BHMBCCMKT01,577,176,2016-10-10 13:04:49,30.5
BHMBCCMKT01,577,172,2016-10-10 13:30:49,29.81
BHMBCCMKT01,577,161,2016-10-10 14:03:49,27.9
BHMBCCMKT01,577,154,2016-10-10 14:30:49,26.69
BHMBCCMKT01,577,137,2016-10-10 14:57:54,23.74
BHMBCCMKT01,577,129,2016-10-10 15:30:49,22.36
BHMBCCMKT01,577,130,2016-10-10 15:57:55,22.53
BHMBCCMKT01,577,114,2016-10-10 16:30:49,19.76
BHMBCCMKT01,577,56,2016-10-11 8:04:57,9.71
BHMBCCMKT01,577,64,2016-10-11 8:30:54,11.09
BHMBCCMKT01,577,74,2016-10-11 8:57:56,12.82
BHMBCCMKT01,577,93,2016-10-11 9:30:55,16.12
BHMBCCMKT01,577,129,2016-10-11 9:57:59,22.36
BHMBCCMKT01,577,167,2016-10-11 10:30:54,28.94
BHMBCCMKT01,577,200,2016-10-11 10:57:55,34.66
BHMBCCMKT01,577,219,2016-10-11 11:30:59,37.95
BHMBCCMKT01,577,225,2016-10-11 12:03:55,38.99
BHMBCCMKT01,577,221,2016-10-11 12:30:56,38.3
BHMBCCMKT01,577,217,2016-10-11 13:04:00,37.61
BHMBCCMKT01,577,217,2016-10-11 13:31:01,37.61
BHMBCCMKT01,577,208,2016-10-11 14:04:00,36.05
BHMBCCMKT01,577,191,2016-10-11 14:30:56,33.1
BHMBCCMKT01,577,167,2016-10-11 15:03:58,28.94
BHMBCCMKT01,577,159,2016-10-11 15:33:56,27.56
BHMBCCMKT01,577,150,2016-10-11 16:01:00,26
BHMBCCMKT01,577,127,2016-10-11 16:26:56,22.01
BHMBCCMKT01,577,51,2016-10-12 8:04:00,8.84
BHMBCCMKT01,577,57,2016-10-12 8:31:01,9.88
BHMBCCMKT01,577,64,2016-10-12 9:03:59,11.09
BHMBCCMKT01,577,73,2016-10-12 9:26:58,12.65
BHMBCCMKT01,577,99,2016-10-12 10:01:04,17.16
BHMBCCMKT01,577,112,2016-10-12 10:31:04,19.41
BHMBCCMKT01,577,127,2016-10-12 11:04:01,22.01
BHMBCCMKT01,577,128,2016-10-12 11:31:05,22.18
BHMBCCMKT01,577,143,2016-10-12 12:04:04,24.78
BHMBCCMKT01,577,158,2016-10-12 12:31:05,27.38
BHMBCCMKT01,577,157,2016-10-12 13:04:04,27.21
BHMBCCMKT01,577,164,2016-10-12 13:34:03,28.42
BHMBCCMKT01,577,167,2016-10-12 14:03:59,28.94
BHMBCCMKT01,577,159,2016-10-12 14:34:04,27.56
BHMBCCMKT01,577,140,2016-10-12 15:01:03,24.26
BHMBCCMKT01,577,128,2016-10-12 15:30:59,22.18
BHMBCCMKT01,577,121,2016-10-12 15:57:05,20.97
BHMBCCMKT01,577,111,2016-10-12 16:31:05,19.24
BHMBCCMKT01,577,58,2016-10-13 7:57:02,10.05
BHMBCCMKT01,577,65,2016-10-13 8:31:06,11.27
BHMBCCMKT01,577,76,2016-10-13 9:04:02,13.17
BHMBCCMKT01,577,97,2016-10-13 9:31:01,16.81
BHMBCCMKT01,577,127,2016-10-13 9:57:08,22.01
BHMBCCMKT01,577,166,2016-10-13 10:31:03,28.77
BHMBCCMKT01,577,200,2016-10-13 11:04:08,34.66
BHMBCCMKT01,577,220,2016-10-13 11:31:06,38.13
BHMBCCMKT01,577,230,2016-10-13 11:57:06,39.86
BHMBCCMKT01,577,231,2016-10-13 12:31:08,40.03
BHMBCCMKT01,577,214,2016-10-13 13:04:04,37.09
BHMBCCMKT01,577,203,2016-10-13 13:31:08,35.18
BHMBCCMKT01,577,205,2016-10-13 13:57:07,35.53
BHMBCCMKT01,577,181,2016-10-13 14:31:06,31.37
BHMBCCMKT01,577,162,2016-10-13 15:04:08,28.08
BHMBCCMKT01,577,144,2016-10-13 15:31:08,24.96
BHMBCCMKT01,577,132,2016-10-13 16:04:08,22.88
BHMBCCMKT01,577,130,2016-10-13 16:31:08,22.53
BHMBCCMKT01,577,53,2016-10-14 8:01:05,9.19
BHMBCCMKT01,577,57,2016-10-14 8:27:10,9.88
BHMBCCMKT01,577,67,2016-10-14 9:01:08,11.61
BHMBCCMKT01,577,100,2016-10-14 9:27:10,17.33
BHMBCCMKT01,577,134,2016-10-14 10:01:11,23.22
BHMBCCMKT01,577,157,2016-10-14 10:27:09,27.21
BHMBCCMKT01,577,205,2016-10-14 11:01:07,35.53
BHMBCCMKT01,577,220,2016-10-14 11:27:06,38.13
BHMBCCMKT01,577,224,2016-10-14 12:01:11,38.82
BHMBCCMKT01,577,213,2016-10-14 12:27:06,36.92
BHMBCCMKT01,577,205,2016-10-14 13:01:11,35.53
BHMBCCMKT01,577,201,2016-10-14 13:27:07,34.84
BHMBCCMKT01,577,182,2016-10-14 14:01:11,31.54
BHMBCCMKT01,577,174,2016-10-14 14:34:08,30.16
BHMBCCMKT01,577,171,2016-10-14 15:01:12,29.64
BHMBCCMKT01,577,161,2016-10-14 15:27:08,27.9
BHMBCCMKT01,577,138,2016-10-14 16:01:11,23.92
BHMBCCMKT01,577,134,2016-10-14 16:34:08,23.22
BHMBCCMKT01,577,53,2016-10-15 8:01:11,9.19
BHMBCCMKT01,577,63,2016-10-15 8:34:10,10.92
BHMBCCMKT01,577,77,2016-10-15 9:01:09,13.34
BHMBCCMKT01,577,101,2016-10-15 9:27:11,17.5
BHMBCCMKT01,577,154,2016-10-15 10:01:12,26.69
BHMBCCMKT01,577,171,2016-10-15 10:27:15,29.64
BHMBCCMKT01,577,211,2016-10-15 11:01:14,36.57
BHMBCCMKT01,577,239,2016-10-15 11:27:14,41.42
BHMBCCMKT01,577,276,2016-10-15 12:01:12,47.83
BHMBCCMKT01,577,297,2016-10-15 12:27:10,51.47
BHMBCCMKT01,577,332,2016-10-15 13:01:14,57.54
BHMBCCMKT01,577,352,2016-10-15 13:34:13,61.01
BHMBCCMKT01,577,391,2016-10-15 14:01:13,67.76
BHMBCCMKT01,577,409,2016-10-15 14:27:12,70.88
BHMBCCMKT01,577,442,2016-10-15 15:01:13,76.6
BHMBCCMKT01,577,428,2016-10-15 15:27:12,74.18
BHMBCCMKT01,577,412,2016-10-15 16:01:15,71.4
BHMBCCMKT01,577,393,2016-10-15 16:27:16,68.11
BHMBCCMKT01,577,48,2016-10-16 8:04:13,8.32
BHMBCCMKT01,577,48,2016-10-16 8:27:13,8.32
BHMBCCMKT01,577,55,2016-10-16 9:01:15,9.53
BHMBCCMKT01,577,57,2016-10-16 9:27:13,9.88
BHMBCCMKT01,577,57,2016-10-16 10:04:13,9.88
BHMBCCMKT01,577,56,2016-10-16 10:34:13,9.71
BHMBCCMKT01,577,56,2016-10-16 11:01:13,9.71
BHMBCCMKT01,577,56,2016-10-16 11:27:17,9.71
BHMBCCMKT01,577,65,2016-10-16 12:01:16,11.27
BHMBCCMKT01,577,105,2016-10-16 12:27:14,18.2
BHMBCCMKT01,577,131,2016-10-16 13:01:16,22.7
BHMBCCMKT01,577,146,2016-10-16 13:27:17,25.3
BHMBCCMKT01,577,170,2016-10-16 14:01:18,29.46
BHMBCCMKT01,577,180,2016-10-16 14:27:13,31.2
BHMBCCMKT01,577,192,2016-10-16 15:01:18,33.28
BHMBCCMKT01,577,185,2016-10-16 15:31:18,32.06
BHMBCCMKT01,577,173,2016-10-16 15:57:16,29.98
BHMBCCMKT01,577,154,2016-10-16 16:31:17,26.69
BHMBCCMKT01,577,50,2016-10-17 8:01:16,8.67
BHMBCCMKT01,577,54,2016-10-17 8:27:16,9.36
BHMBCCMKT01,577,66,2016-10-17 9:01:17,11.44
BHMBCCMKT01,577,76,2016-10-17 9:27:20,13.17
BHMBCCMKT01,577,112,2016-10-17 10:04:20,19.41
BHMBCCMKT01,577,119,2016-10-17 10:31:16,20.62
BHMBCCMKT01,577,144,2016-10-17 11:04:20,24.96
BHMBCCMKT01,577,153,2016-10-17 11:31:18,26.52
BHMBCCMKT01,577,159,2016-10-17 12:04:19,27.56
BHMBCCMKT01,577,154,2016-10-17 12:31:21,26.69
BHMBCCMKT01,577,154,2016-10-17 12:57:17,26.69
BHMBCCMKT01,577,157,2016-10-17 13:31:21,27.21
BHMBCCMKT01,577,161,2016-10-17 14:04:21,27.9
BHMBCCMKT01,577,147,2016-10-17 14:31:21,25.48
BHMBCCMKT01,577,133,2016-10-17 14:57:18,23.05
BHMBCCMKT01,577,121,2016-10-17 15:31:21,20.97
BHMBCCMKT01,577,115,2016-10-17 15:57:17,19.93
BHMBCCMKT01,577,110,2016-10-17 16:28:21,19.06
BHMBCCMKT01,577,57,2016-10-18 8:01:23,9.88
BHMBCCMKT01,577,60,2016-10-18 8:28:25,10.4
BHMBCCMKT01,577,72,2016-10-18 9:01:23,12.48
BHMBCCMKT01,577,91,2016-10-18 9:28:22,15.77
BHMBCCMKT01,577,145,2016-10-18 10:01:25,25.13
BHMBCCMKT01,577,178,2016-10-18 10:28:58,30.85
BHMBCCMKT01,577,220,2016-10-18 11:01:57,38.13
BHMBCCMKT01,577,228,2016-10-18 11:27:56,39.51
BHMBCCMKT01,577,231,2016-10-18 12:01:59,40.03
BHMBCCMKT01,577,224,2016-10-18 12:27:57,38.82
BHMBCCMKT01,577,237,2016-10-18 13:01:56,41.07
BHMBCCMKT01,577,227,2016-10-18 13:28:57,39.34
BHMBCCMKT01,577,226,2016-10-18 13:54:59,39.17
BHMBCCMKT01,577,200,2016-10-18 14:27:56,34.66
BHMBCCMKT01,577,165,2016-10-18 15:01:58,28.6
BHMBCCMKT01,577,157,2016-10-18 15:27:59,27.21
BHMBCCMKT01,577,149,2016-10-18 15:55:00,25.82
BHMBCCMKT01,577,124,2016-10-18 16:27:54,21.49
BHMBCCMKT01,577,49,2016-10-19 8:05:03,8.49
BHMBCCMKT01,577,51,2016-10-19 8:25:01,8.84
BHMBCCMKT01,577,59,2016-10-19 8:58:05,10.23
BHMBCCMKT01,577,76,2016-10-19 9:32:04,13.17
BHMBCCMKT01,577,105,2016-10-19 9:58:04,18.2
BHMBCCMKT01,577,135,2016-10-19 10:25:04,23.4
BHMBCCMKT01,577,156,2016-10-19 10:59:00,27.04
BHMBCCMKT01,577,177,2016-10-19 11:25:04,30.68
BHMBCCMKT01,577,181,2016-10-19 11:59:05,31.37
BHMBCCMKT01,577,171,2016-10-19 12:25:00,29.64
BHMBCCMKT01,577,165,2016-10-19 12:58:01,28.6
BHMBCCMKT01,577,167,2016-10-19 13:25:03,28.94
BHMBCCMKT01,577,161,2016-10-19 13:58:02,27.9
BHMBCCMKT01,577,156,2016-10-19 14:32:03,27.04
BHMBCCMKT01,577,144,2016-10-19 14:58:03,24.96
BHMBCCMKT01,577,127,2016-10-19 15:32:05,22.01
BHMBCCMKT01,577,117,2016-10-19 15:59:01,20.28
BHMBCCMKT01,577,110,2016-10-19 16:25:03,19.06
BHMBCCMKT01,577,57,2016-10-22 7:59:45,9.88
BHMBCCMKT01,577,59,2016-10-22 8:26:46,10.23
BHMBCCMKT01,577,72,2016-10-22 8:59:44,12.48
BHMBCCMKT01,577,93,2016-10-22 9:26:47,16.12
BHMBCCMKT01,577,130,2016-10-22 9:59:44,22.53
BHMBCCMKT01,577,156,2016-10-22 10:26:47,27.04
BHMBCCMKT01,577,198,2016-10-22 10:59:47,34.32
BHMBCCMKT01,577,239,2016-10-22 11:32:43,41.42
BHMBCCMKT01,577,261,2016-10-22 11:59:46,45.23
BHMBCCMKT01,577,324,2016-10-22 12:32:47,56.15
BHMBCCMKT01,577,359,2016-10-22 12:59:47,62.22
BHMBCCMKT01,577,380,2016-10-22 13:32:43,65.86
BHMBCCMKT01,577,408,2016-10-22 13:59:48,70.71
BHMBCCMKT01,577,430,2016-10-22 14:39:47,74.52
BHMBCCMKT01,577,424,2016-10-22 14:59:48,73.48
BHMBCCMKT01,577,403,2016-10-22 15:26:49,69.84
BHMBCCMKT01,577,384,2016-10-22 15:59:47,66.55
BHMBCCMKT01,577,340,2016-10-22 16:26:47,58.93
BHMBCCMKT01,577,47,2016-10-23 7:59:48,8.15
BHMBCCMKT01,577,48,2016-10-23 8:26:51,8.32
BHMBCCMKT01,577,51,2016-10-23 8:59:50,8.84
BHMBCCMKT01,577,50,2016-10-23 9:26:51,8.67
BHMBCCMKT01,577,54,2016-10-23 9:59:52,9.36
BHMBCCMKT01,577,60,2016-10-23 10:26:53,10.4
BHMBCCMKT01,577,80,2016-10-23 10:59:53,13.86
BHMBCCMKT01,577,107,2016-10-23 11:26:49,18.54
BHMBCCMKT01,577,125,2016-10-23 11:59:50,21.66
BHMBCCMKT01,577,144,2016-10-23 12:26:51,24.96
BHMBCCMKT01,577,175,2016-10-23 13:06:52,30.33
BHMBCCMKT01,577,192,2016-10-23 13:26:55,33.28
BHMBCCMKT01,577,215,2016-10-23 13:59:53,37.26
BHMBCCMKT01,577,226,2016-10-23 14:26:51,39.17
BHMBCCMKT01,577,219,2016-10-23 14:59:53,37.95
BHMBCCMKT01,577,215,2016-10-23 15:26:56,37.26
BHMBCCMKT01,577,179,2016-10-23 15:59:54,31.02
BHMBCCMKT01,577,150,2016-10-23 16:26:57,26
BHMBCCMKT01,577,47,2016-10-24 7:56:56,8.15
BHMBCCMKT01,577,55,2016-10-24 8:29:56,9.53
BHMBCCMKT01,577,62,2016-10-24 9:03:01,10.75
BHMBCCMKT01,577,73,2016-10-24 9:30:01,12.65
BHMBCCMKT01,577,87,2016-10-24 9:55:57,15.08
BHMBCCMKT01,577,114,2016-10-24 10:30:02,19.76
BHMBCCMKT01,577,137,2016-10-24 11:03:03,23.74
BHMBCCMKT01,577,155,2016-10-24 11:29:57,26.86
BHMBCCMKT01,577,173,2016-10-24 12:02:57,29.98
BHMBCCMKT01,577,191,2016-10-24 12:30:03,33.1
BHMBCCMKT01,577,198,2016-10-24 12:56:58,34.32
BHMBCCMKT01,577,208,2016-10-24 13:30:03,36.05
BHMBCCMKT01,577,219,2016-10-24 13:56:01,37.95
BHMBCCMKT01,577,215,2016-10-24 14:30:02,37.26
BHMBCCMKT01,577,209,2016-10-24 14:56:02,36.22
BHMBCCMKT01,577,209,2016-10-24 15:32:59,36.22
BHMBCCMKT01,577,192,2016-10-24 16:00:04,33.28
BHMBCCMKT01,577,175,2016-10-24 16:33:03,30.33
BHMBCCMKT01,577,54,2016-10-25 8:00:03,9.36
BHMBCCMKT01,577,55,2016-10-25 8:26:08,9.53
BHMBCCMKT01,577,82,2016-10-25 9:00:03,14.21
BHMBCCMKT01,577,95,2016-10-25 9:19:19,16.46
BHMBCCMKT01,577,129,2016-10-25 9:56:19,22.36
BHMBCCMKT01,577,173,2016-10-25 10:29:19,29.98
BHMBCCMKT01,577,202,2016-10-25 10:56:23,35.01
BHMBCCMKT01,577,249,2016-10-25 11:29:22,43.15
BHMBCCMKT01,577,290,2016-10-25 12:02:23,50.26
BHMBCCMKT01,577,303,2016-10-25 12:29:21,52.51
BHMBCCMKT01,577,331,2016-10-25 13:03:20,57.37
BHMBCCMKT01,577,345,2016-10-25 13:29:24,59.79
BHMBCCMKT01,577,363,2016-10-25 13:56:21,62.91
BHMBCCMKT01,577,365,2016-10-25 14:29:23,63.26
BHMBCCMKT01,577,340,2016-10-25 15:02:24,58.93
BHMBCCMKT01,577,302,2016-10-25 15:29:22,52.34
BHMBCCMKT01,577,273,2016-10-25 15:56:25,47.31
BHMBCCMKT01,577,226,2016-10-25 16:29:22,39.17
BHMBCCMKT01,577,56,2016-10-26 7:59:26,9.71
BHMBCCMKT01,577,63,2016-10-26 8:32:27,10.92
BHMBCCMKT01,577,70,2016-10-26 8:59:29,12.13
BHMBCCMKT01,577,87,2016-10-26 9:26:27,15.08
BHMBCCMKT01,577,108,2016-10-26 9:59:25,18.72
BHMBCCMKT01,577,125,2016-10-26 10:26:30,21.66
BHMBCCMKT01,577,159,2016-10-26 10:59:30,27.56
BHMBCCMKT01,577,182,2016-10-26 11:26:28,31.54
BHMBCCMKT01,577,198,2016-10-26 11:59:29,34.32
BHMBCCMKT01,577,205,2016-10-26 12:26:27,35.53
BHMBCCMKT01,577,231,2016-10-26 12:59:31,40.03
BHMBCCMKT01,577,244,2016-10-26 13:26:32,42.29
BHMBCCMKT01,577,260,2016-10-26 13:59:26,45.06
BHMBCCMKT01,577,267,2016-10-26 14:26:26,46.27
BHMBCCMKT01,577,252,2016-10-26 14:59:30,43.67
BHMBCCMKT01,577,238,2016-10-26 15:26:30,41.25
BHMBCCMKT01,577,212,2016-10-26 15:59:32,36.74
BHMBCCMKT01,577,180,2016-10-26 16:32:30,31.2
BHMBCCMKT01,577,54,2016-10-27 7:59:33,9.36
BHMBCCMKT01,577,60,2016-10-27 8:32:33,10.4
BHMBCCMKT01,577,69,2016-10-27 8:59:33,11.96
BHMBCCMKT01,577,90,2016-10-27 9:32:35,15.6
BHMBCCMKT01,577,102,2016-10-27 9:59:37,17.68
BHMBCCMKT01,577,117,2016-10-27 10:25:37,20.28
BHMBCCMKT01,577,160,2016-10-27 10:59:38,27.73
BHMBCCMKT01,577,189,2016-10-27 11:32:32,32.76
BHMBCCMKT01,577,207,2016-10-27 11:59:38,35.88
BHMBCCMKT01,577,222,2016-10-27 12:26:35,38.47
BHMBCCMKT01,577,247,2016-10-27 12:59:36,42.81
BHMBCCMKT01,577,271,2016-10-27 13:32:35,46.97
BHMBCCMKT01,577,279,2016-10-27 13:59:37,48.35
BHMBCCMKT01,577,280,2016-10-27 14:26:38,48.53
BHMBCCMKT01,577,266,2016-10-27 14:59:37,46.1
BHMBCCMKT01,577,263,2016-10-27 15:26:33,45.58
BHMBCCMKT01,577,241,2016-10-27 15:59:38,41.77
BHMBCCMKT01,577,225,2016-10-27 16:26:39,38.99
BHMBCCMKT01,577,57,2016-10-28 8:16:41,9.88
BHMBCCMKT01,577,57,2016-10-28 8:16:41,9.88
BHMBCCMKT01,577,69,2016-10-28 8:56:40,11.96
BHMBCCMKT01,577,99,2016-10-28 9:29:43,17.16
BHMBCCMKT01,577,135,2016-10-28 10:02:44,23.4
BHMBCCMKT01,577,171,2016-10-28 10:29:41,29.64
BHMBCCMKT01,577,196,2016-10-28 10:56:43,33.97
BHMBCCMKT01,577,230,2016-10-28 11:29:44,39.86
BHMBCCMKT01,577,262,2016-10-28 12:02:44,45.41
BHMBCCMKT01,577,269,2016-10-28 12:29:45,46.62
BHMBCCMKT01,577,266,2016-10-28 13:02:43,46.1
BHMBCCMKT01,577,275,2016-10-28 13:29:45,47.66
BHMBCCMKT01,577,296,2016-10-28 14:02:39,51.3
BHMBCCMKT01,577,290,2016-10-28 14:29:45,50.26
BHMBCCMKT01,577,282,2016-10-28 15:02:43,48.87
BHMBCCMKT01,577,269,2016-10-28 15:29:41,46.62
BHMBCCMKT01,577,256,2016-10-28 16:02:40,44.37
BHMBCCMKT01,577,220,2016-10-28 16:29:42,38.13
BHMBCCMKT01,577,51,2016-10-29 7:59:48,8.84
BHMBCCMKT01,577,56,2016-10-29 8:26:46,9.71
BHMBCCMKT01,577,66,2016-10-29 8:59:48,11.44
BHMBCCMKT01,577,91,2016-10-29 9:26:50,15.77
BHMBCCMKT01,577,124,2016-10-29 9:59:51,21.49
BHMBCCMKT01,577,164,2016-10-29 10:26:49,28.42
BHMBCCMKT01,577,213,2016-10-29 10:59:46,36.92
BHMBCCMKT01,577,267,2016-10-29 11:25:51,46.27
BHMBCCMKT01,577,314,2016-10-29 12:06:51,54.42
BHMBCCMKT01,577,339,2016-10-29 12:26:46,58.75
BHMBCCMKT01,577,338,2016-10-29 12:59:51,58.58
BHMBCCMKT01,577,368,2016-10-29 13:26:47,63.78
BHMBCCMKT01,577,366,2016-10-29 13:59:51,63.43
BHMBCCMKT01,577,374,2016-10-29 14:26:50,64.82
BHMBCCMKT01,577,414,2016-10-29 14:59:51,71.75
BHMBCCMKT01,577,417,2016-10-29 15:26:52,72.27
BHMBCCMKT01,577,417,2016-10-29 15:59:51,72.27
BHMBCCMKT01,577,369,2016-10-29 16:26:53,63.95
BHMBCCMKT01,577,43,2016-10-30 7:59:55,7.45
BHMBCCMKT01,577,43,2016-10-30 7:59:55,7.45
BHMBCCMKT01,577,43,2016-10-30 7:59:55,7.45
